id,establishment_id,delivery_way,payment_type,enviado_em
1,3072,Retirada,Dinheiro,2020-03-31 18:50:36.368332
2,1761,Entrega,Dinheiro,2020-03-31 18:50:36.368332
3,744,Retirada,Débito,2020-03-31 19:16:07.838769
4,744,Retirada,Débito,2020-03-31 19:17:15.518973
5,1254,Retirada,Pagamento Digital,2020-03-31 19:28:49.794554
6,1254,Entrega,Pagamento Digital,2020-03-31 19:31:15.992925
7,1254,Retirada,Pagamento Digital,2020-03-31 19:31:40.477597
8,1254,Entrega,Pagamento Digital,2020-03-31 19:42:29.841342
9,1254,Retirada,Pagamento Digital,2020-03-31 19:42:38.395312
10,225,Entrega,Dinheiro,2020-03-31 20:49:32.661729
11,225,Entrega,Dinheiro,2020-03-31 21:48:27.390247
12,1084,Entrega,Crédito,2020-04-01 11:39:04.259055
13,1084,Retirada,Crédito,2020-04-01 12:09:06.150857
14,3300,Entrega,Dinheiro,2020-04-01 13:56:46.783955
15,3300,Entrega,Dinheiro,2020-04-01 14:11:04.100085
16,1084,Entrega,Dinheiro,2020-04-01 14:12:44.566176
17,3300,Retirada,Débito,2020-04-01 14:12:45.064947
18,2623,Entrega,Dinheiro,2020-04-01 18:47:25.807363
19,1254,Retirada,Pagamento Digital,2020-04-01 18:50:29.212071
20,2623,Entrega,Dinheiro,2020-04-01 19:14:53.725217
21,1254,Retirada,Pagamento Digital,2020-04-01 19:48:09.183120
22,1254,Retirada,Pagamento Digital,2020-04-01 19:48:35.843423
23,1254,Entrega,Pagamento Digital,2020-04-01 19:58:01.316541
24,2623,Retirada,Dinheiro,2020-04-01 20:04:42.385693
25,1254,Entrega,Pagamento Digital,2020-04-01 20:09:17.689632
26,1254,Retirada,Pagamento Digital,2020-04-01 20:12:21.945664
27,2623,Entrega,Dinheiro,2020-04-01 20:16:16.535657
28,744,Retirada,Dinheiro,2020-04-01 20:22:37.164928
29,1084,Retirada,Crédito,2020-04-02 11:59:37.850681
30,3471,Retirada,Dinheiro,2020-04-02 12:16:12.986692
31,3471,Retirada,Dinheiro,2020-04-02 12:18:22.503779
32,3471,Retirada,Dinheiro,2020-04-02 12:19:51.062661
33,3471,Entrega,Crédito,2020-04-02 12:24:37.567933
34,1084,Retirada,Débito,2020-04-02 12:44:50.203314
35,1084,Retirada,Débito,2020-04-02 12:46:42.353791
36,1084,Entrega,Débito,2020-04-02 13:21:06.273385
37,1084,Entrega,Dinheiro,2020-04-02 13:34:56.384782
38,3471,Entrega,Crédito,2020-04-02 13:36:05.378907
39,3521,Retirada,Crédito,2020-04-02 16:14:11.515383
40,1254,Entrega,Pagamento Digital,2020-04-02 17:21:07.201866
41,1254,Retirada,Pagamento Digital,2020-04-02 17:22:01.308760
42,2623,Entrega,Dinheiro,2020-04-02 18:37:40.539232
43,1254,Retirada,Pagamento Digital,2020-04-02 19:21:01.305835
44,2623,Entrega,Débito,2020-04-02 19:26:53.678467
45,2623,Retirada,Crédito,2020-04-02 19:32:18.399357
46,1254,Retirada,Pagamento Digital,2020-04-02 19:39:19.126413
47,2623,Entrega,Crédito,2020-04-02 19:40:41.555633
48,1254,Retirada,Pagamento Digital,2020-04-02 19:54:23.858086
49,1254,Entrega,Pagamento Digital,2020-04-02 19:56:30.231554
50,2623,Entrega,Dinheiro,2020-04-02 19:59:28.088278
51,2623,Entrega,Débito,2020-04-02 20:02:29.730244
52,744,Retirada,Débito,2020-04-02 20:20:51.900902
53,1254,Entrega,Pagamento Digital,2020-04-02 20:28:27.724659
54,1254,Retirada,Pagamento Digital,2020-04-02 20:34:37.348004
55,1084,Entrega,Débito,2020-04-02 21:00:16.861751
56,2623,Entrega,Crédito,2020-04-02 21:00:26.241440
57,1254,Entrega,Débito,2020-04-02 22:18:07.201365
58,3521,Retirada,Dinheiro,2020-04-03 09:50:41.993691
59,3521,Retirada,Dinheiro,2020-04-03 10:59:48.841348
60,1084,Entrega,Débito,2020-04-03 11:27:06.045383
61,1084,Retirada,Dinheiro,2020-04-03 12:10:48.949424
62,2954,Retirada,Crédito,2020-04-03 12:35:54.379231
63,1084,Retirada,Dinheiro,2020-04-03 12:38:26.411594
64,1084,Entrega,Débito,2020-04-03 13:29:03.313199
65,1084,Entrega,Dinheiro,2020-04-03 13:48:10.801173
66,3072,Retirada,Dinheiro,2020-04-03 16:32:06.830540
67,225,Entrega,Dinheiro,2020-04-03 17:33:37.370641
68,225,Entrega,Débito,2020-04-03 18:09:02.025752
69,1254,Retirada,Débito,2020-04-03 18:19:53.589043
70,744,Retirada,Débito,2020-04-03 18:50:20.882186
71,744,Retirada,Crédito,2020-04-03 18:52:02.829040
72,225,Retirada,Crédito,2020-04-03 18:58:49.657074
73,1254,Entrega,Crédito,2020-04-03 19:01:55.447578
74,1254,Entrega,Crédito,2020-04-03 19:01:56.103855
75,225,Entrega,Dinheiro,2020-04-03 19:02:54.810282
